S,ConTh,ConPr,T
3000.000512,0,0,82.1503589153
3000.000512,0,8539.17482286,76.5532062054
3000.000512,0,8581.26609399,76.9305520058
3000.000512,0,8942.29999918,81.9069390297
3000.000512,0,9000.001536,83.5132191181
3000.000512,2997.46618729,0,216.526645184
3000.000512,3000.000512,0,216.709716082
3000.000512,0,30490.5966163,99.5883080959
3000.000512,0,31063.742281,101.460314989
3000.000512,0,31204.6903783,101.969892025
3000.000512,0,31658.5865835,103.806206942
3000.000512,0,32358.0608958,107.010721922
3000.000512,0,32505.3740335,107.88478899
3000.000512,0,32395.3649045,107.206807852
3000.000512,0,32609.9080859,108.662268877
3000.000512,0,32698.9335588,109.495497942
3000.000512,0,32931.6352144,112.42456913
3000.000512,0,32976.9713492,113.283843041
3000.000512,0,33000.005632,114.160377026
3000.000512,8987.0362323,0,517.507194042
3000.000512,8989.14067978,0,517.628376007
3000.000512,8998.98602837,0,518.479288101
3000.000512,9000.001536,0,518.654854059
3000.000512,0,0,81.0638458729
3000.000512,0,8759.35792194,78.0403749943
3000.000512,0,8761.51103904,78.0595579147
3000.000512,0,8958.54483309,80.7290611267
3000.000512,0,9000.001536,81.8602800369
3000.000512,2989.80906941,0,210.282939911
3000.000512,3000.000512,0,210.999737024
3000.000512,0,29501.7816985,117.367869139
3000.000512,0,31094.7489878,123.705221176
3000.000512,0,31595.0791732,125.908246994
3000.000512,0,31598.199597,125.923597097
3000.000512,0,32192.6485607,129.236036062
3000.000512,0,32270.5690379,129.777324915
3000.000512,0,32232.3484001,129.490121126
3000.000512,0,32554.6591947,132.507730961
3000.000512,0,32492.7874987,131.798192024
3000.000512,0,32679.0943534,134.43517518
3000.000512,0,33000.005632,142.413117886
3000.000512,0,32983.9821371,141.652466059
3000.000512,8940.49290249,0,413.247500181
3000.000512,8969.84831249,0,414.604366064
3000.000512,8999.07058291,0,416.633845091
3000.000512,9000.001536,0,416.763174057
3000.000512,0,0,80.6590790749
3000.000512,0,8620.54166018,78.2295138836
3000.000512,0,8644.50676471,78.4469919205
3000.000512,0,8943.09115883,82.5966989994
3000.000512,0,9000.001536,84.1938669682
3000.000512,2954.13110935,0,186.506833792
3000.000512,3000.000512,0,189.402763843
3000.000512,0,30255.2098873,102.918867111
3000.000512,0,30594.5405082,104.07316494
3000.000512,0,31300.4015901,106.735329151
3000.000512,0,32148.6574802,110.31388402
3000.000512,0,32408.4328573,111.577096224
3000.000512,0,32372.4310898,111.380267143
3000.000512,0,32556.7405202,112.527655125
3000.000512,0,32654.6377507,113.28442812
3000.000512,0,32658.2426348,113.319468021
3000.000512,0,32850.832743,115.840097189
3000.000512,0,32888.3306794,116.582515955
3000.000512,0,33000.005632,121.090091944
3000.000512,8981.4989955,0,482.514230013
3000.000512,8994.09113017,0,483.190718889
3000.000512,8994.87639749,0,483.254020214
3000.000512,9000.001536,0,484.081014156
3000.000512,0,0,76.5987739563
3000.000512,0,8924.73859585,90.3709979057
3000.000512,0,8930.15905863,90.4258849621
3000.000512,0,8970.96215001,91.0480699539
3000.000512,0,9000.001536,91.938010931
3000.000512,2994.88367284,0,191.99168992
